LGA,Population,Year,Number of Deaths,Total Deaths,"DeathsPer100k"
ARARAT,11686,2018,0,2,0
BALLARAT,121050,2018,4,16,3.3
BAW BAW,61905,2018,1,5,1.62
BAYSIDE,106118,2018,0,1,0
BENALLA,14635,2018,2,3,13.67
BOROONDARA,178008,2018,0,12,0
BRIMBANK,198152,2018,1,3,0.5
CAMPASPE,38153,2018,0,5,0
CARDINIA,130383,2018,0,6,0
CASEY,405415,2018,2,6,0.49
CENTRAL GOLDFIELDS,13704,2018,0,2,0
COLAC OTWAY,22300,2018,0,6,0
CORANGAMITE,15846,2018,0,4,0
DAREBIN,159963,2018,1,5,0.63
EAST GIPPSLAND,49422,2018,0,7,0
FRANKSTON,144615,2018,1,5,0.69
GANNAWARRA,10404,2018,1,3,9.61
GLEN EIRA,161057,2018,1,1,0.62
GLENELG,20007,2018,0,1,0
GOLDEN PLAINS,26337,2018,0,1,0
GREATER BENDIGO,125805,2018,1,6,0.79
GREATER DANDENONG,167298,2018,1,20,0.6
GREATER GEELONG,289565,2018,1,12,0.35
GREATER SHEPPARTON,69874,2018,2,9,2.86
HINDMARSH,5464,2018,0,1,0
HOBSONS BAY,95633,2018,1,5,1.05
HORSHAM,20376,2018,0,2,0
HUME,271709,2018,1,18,0.37
INDIGO,17788,2018,0,2,0
KINGSTON,166521,2018,2,9,1.2
KNOX,163302,2018,0,6,0
LATROBE,78845,2018,1,6,1.27
LODDON,7755,2018,0,1,0
MACEDON RANGES,53738,2018,0,2,0
MANNINGHAM,131761,2018,1,3,0.76
MANSFIELD,10782,2018,1,1,9.27
MARIBYRNONG,94251,2018,2,5,2.12
MAROONDAH,119354,2018,0,1,0
MELBOURNE,189381,2018,3,18,1.58
MELTON,219697,2018,2,3,0.91
MILDURA,57626,2018,2,4,3.47
MITCHELL,56384,2018,2,5,3.55
MOIRA,30836,2018,1,3,3.24
MONASH,209268,2018,1,12,0.48
MOONEE VALLEY,129732,2018,0,3,0
MOORABOOL,39814,2018,0,4,0
MORNINGTON PENINSULA,171450,2018,1,6,0.58
MOUNT ALEXANDER,20799,2018,0,1,0
MOYNE,17717,2018,0,3,0
MURRINDINDI,15603,2018,0,6,0
NORTHERN GRAMPIANS,11808,2018,0,1,0
PORT PHILLIP,112669,2018,1,4,0.89
PYRENEES,7958,2018,0,2,0
SOUTH GIPPSLAND,31022,2018,1,5,3.22
SOUTHERN GRAMPIANS,16525,2018,0,1,0
STONNINGTON,114038,2018,0,2,0
STRATHBOGIE,11739,2018,0,2,0
SURF COAST,39928,2018,0,1,0
SWAN HILL,21094,2018,0,1,0
TOWONG,6237,2018,1,2,16.03
WANGARATTA,30169,2018,1,2,3.31
WARRNAMBOOL,36150,2018,0,2,0
WELLINGTON,46533,2018,0,5,0
WEST WIMMERA,3913,2018,0,1,0
WHITEHORSE,183462,2018,1,9,0.55
WHITTLESEA,253204,2018,2,13,0.79
WODONGA,44824,2018,1,4,2.23
WYNDHAM,337009,2018,2,9,0.59
YARRA,100706,2018,1,9,0.99
YARRA RANGES,160137,2018,2,9,1.25
ARARAT,11686,2019,0,2,0
BALLARAT,121050,2019,5,16,4.13
BAW BAW,61905,2019,1,5,1.62
BAYSIDE,106118,2019,0,1,0
BENALLA,14635,2019,0,3,0
BOROONDARA,178008,2019,1,12,0.56
BRIMBANK,198152,2019,0,3,0
CAMPASPE,38153,2019,1,5,2.62
CARDINIA,130383,2019,0,6,0
CASEY,405415,2019,3,6,0.74
CENTRAL GOLDFIELDS,13704,2019,1,2,7.3
COLAC OTWAY,22300,2019,0,6,0
CORANGAMITE,15846,2019,2,4,12.62
DAREBIN,159963,2019,1,5,0.63
EAST GIPPSLAND,49422,2019,4,7,8.09
FRANKSTON,144615,2019,1,5,0.69
GANNAWARRA,10404,2019,0,3,0
GLEN EIRA,161057,2019,0,1,0
GLENELG,20007,2019,1,1,5
GOLDEN PLAINS,26337,2019,0,1,0
GREATER BENDIGO,125805,2019,5,6,3.97
GREATER DANDENONG,167298,2019,4,20,2.39
GREATER GEELONG,289565,2019,3,12,1.04
GREATER SHEPPARTON,69874,2019,2,9,2.86
HINDMARSH,5464,2019,0,1,0
HOBSONS BAY,95633,2019,1,5,1.05
HORSHAM,20376,2019,2,2,9.82
HUME,271709,2019,4,18,1.47
INDIGO,17788,2019,1,2,5.62
KINGSTON,166521,2019,2,9,1.2
KNOX,163302,2019,2,6,1.22
LATROBE,78845,2019,1,6,1.27
LODDON,7755,2019,0,1,0
MACEDON RANGES,53738,2019,1,2,1.86
MANNINGHAM,131761,2019,0,3,0
MANSFIELD,10782,2019,0,1,0
MARIBYRNONG,94251,2019,0,5,0
MAROONDAH,119354,2019,0,1,0
MELBOURNE,189381,2019,1,18,0.53
MELTON,219697,2019,0,3,0
MILDURA,57626,2019,0,4,0
MITCHELL,56384,2019,0,5,0
MOIRA,30836,2019,0,3,0
MONASH,209268,2019,5,12,2.39
MOONEE VALLEY,129732,2019,1,3,0.77
MOORABOOL,39814,2019,1,4,2.51
MORNINGTON PENINSULA,171450,2019,0,6,0
MOUNT ALEXANDER,20799,2019,0,1,0
MOYNE,17717,2019,1,3,5.64
MURRINDINDI,15603,2019,1,6,6.41
NORTHERN GRAMPIANS,11808,2019,0,1,0
PORT PHILLIP,112669,2019,0,4,0
PYRENEES,7958,2019,1,2,12.57
SOUTH GIPPSLAND,31022,2019,2,5,6.45
SOUTHERN GRAMPIANS,16525,2019,1,1,6.05
STONNINGTON,114038,2019,0,2,0
STRATHBOGIE,11739,2019,0,2,0
SURF COAST,39928,2019,0,1,0
SWAN HILL,21094,2019,0,1,0
TOWONG,6237,2019,0,2,0
WANGARATTA,30169,2019,0,2,0
WARRNAMBOOL,36150,2019,1,2,2.77
WELLINGTON,46533,2019,0,5,0
WEST WIMMERA,3913,2019,0,1,0
WHITEHORSE,183462,2019,4,9,2.18
WHITTLESEA,253204,2019,2,13,0.79
WODONGA,44824,2019,2,4,4.46
WYNDHAM,337009,2019,3,9,0.89
YARRA,100706,2019,3,9,2.98
YARRA RANGES,160137,2019,0,9,0
ARARAT,11686,2020,0,2,0
BALLARAT,121050,2020,4,16,3.3
BAW BAW,61905,2020,1,5,1.62
BAYSIDE,106118,2020,0,1,0
BENALLA,14635,2020,1,3,6.83
BOROONDARA,178008,2020,5,12,2.81
BRIMBANK,198152,2020,0,3,0
CAMPASPE,38153,2020,0,5,0
CARDINIA,130383,2020,0,6,0
CASEY,405415,2020,1,6,0.25
CENTRAL GOLDFIELDS,13704,2020,0,2,0
COLAC OTWAY,22300,2020,1,6,4.48
CORANGAMITE,15846,2020,0,4,0
DAREBIN,159963,2020,0,5,0
EAST GIPPSLAND,49422,2020,2,7,4.05
FRANKSTON,144615,2020,1,5,0.69
GANNAWARRA,10404,2020,1,3,9.61
GLEN EIRA,161057,2020,0,1,0
GLENELG,20007,2020,0,1,0
GOLDEN PLAINS,26337,2020,0,1,0
GREATER BENDIGO,125805,2020,0,6,0
GREATER DANDENONG,167298,2020,5,20,2.99
GREATER GEELONG,289565,2020,3,12,1.04
GREATER SHEPPARTON,69874,2020,1,9,1.43
HINDMARSH,5464,2020,1,1,18.3
HOBSONS BAY,95633,2020,2,5,2.09
HORSHAM,20376,2020,0,2,0
HUME,271709,2020,5,18,1.84
INDIGO,17788,2020,1,2,5.62
KINGSTON,166521,2020,3,9,1.8
KNOX,163302,2020,1,6,0.61
LATROBE,78845,2020,2,6,2.54
LODDON,7755,2020,0,1,0
MACEDON RANGES,53738,2020,0,2,0
MANNINGHAM,131761,2020,1,3,0.76
MANSFIELD,10782,2020,0,1,0
MARIBYRNONG,94251,2020,2,5,2.12
MAROONDAH,119354,2020,1,1,0.84
MELBOURNE,189381,2020,4,18,2.11
MELTON,219697,2020,1,3,0.46
MILDURA,57626,2020,1,4,1.74
MITCHELL,56384,2020,3,5,5.32
MOIRA,30836,2020,1,3,3.24
MONASH,209268,2020,2,12,0.96
MOONEE VALLEY,129732,2020,0,3,0
MOORABOOL,39814,2020,1,4,2.51
MORNINGTON PENINSULA,171450,2020,3,6,1.75
MOUNT ALEXANDER,20799,2020,1,1,4.81
MOYNE,17717,2020,1,3,5.64
MURRINDINDI,15603,2020,3,6,19.23
NORTHERN GRAMPIANS,11808,2020,0,1,0
PORT PHILLIP,112669,2020,2,4,1.78
PYRENEES,7958,2020,1,2,12.57
SOUTH GIPPSLAND,31022,2020,0,5,0
SOUTHERN GRAMPIANS,16525,2020,0,1,0
STONNINGTON,114038,2020,0,2,0
STRATHBOGIE,11739,2020,0,2,0
SURF COAST,39928,2020,0,1,0
SWAN HILL,21094,2020,0,1,0
TOWONG,6237,2020,0,2,0
WANGARATTA,30169,2020,0,2,0
WARRNAMBOOL,36150,2020,0,2,0
WELLINGTON,46533,2020,0,5,0
WEST WIMMERA,3913,2020,1,1,25.56
WHITEHORSE,183462,2020,1,9,0.55
WHITTLESEA,253204,2020,1,13,0.39
WODONGA,44824,2020,0,4,0
WYNDHAM,337009,2020,1,9,0.3
YARRA,100706,2020,1,9,0.99
YARRA RANGES,160137,2020,4,9,2.5
ARARAT,11686,2021,0,2,0
BALLARAT,121050,2021,2,16,1.65
BAW BAW,61905,2021,2,5,3.23
BAYSIDE,106118,2021,1,1,0.94
BENALLA,14635,2021,0,3,0
BOROONDARA,178008,2021,4,12,2.25
BRIMBANK,198152,2021,1,3,0.5
CAMPASPE,38153,2021,2,5,5.24
CARDINIA,130383,2021,4,6,3.07
CASEY,405415,2021,0,6,0
CENTRAL GOLDFIELDS,13704,2021,0,2,0
COLAC OTWAY,22300,2021,3,6,13.45
CORANGAMITE,15846,2021,2,4,12.62
DAREBIN,159963,2021,2,5,1.25
EAST GIPPSLAND,49422,2021,1,7,2.02
FRANKSTON,144615,2021,1,5,0.69
GANNAWARRA,10404,2021,0,3,0
GLEN EIRA,161057,2021,0,1,0
GLENELG,20007,2021,0,1,0
GOLDEN PLAINS,26337,2021,1,1,3.8
GREATER BENDIGO,125805,2021,0,6,0
GREATER DANDENONG,167298,2021,5,20,2.99
GREATER GEELONG,289565,2021,2,12,0.69
GREATER SHEPPARTON,69874,2021,0,9,0
HINDMARSH,5464,2021,0,1,0
HOBSONS BAY,95633,2021,1,5,1.05
HORSHAM,20376,2021,0,2,0
HUME,271709,2021,6,18,2.21
INDIGO,17788,2021,0,2,0
KINGSTON,166521,2021,1,9,0.6
KNOX,163302,2021,3,6,1.84
LATROBE,78845,2021,2,6,2.54
LODDON,7755,2021,1,1,12.89
MACEDON RANGES,53738,2021,1,2,1.86
MANNINGHAM,131761,2021,0,3,0
MANSFIELD,10782,2021,0,1,0
MARIBYRNONG,94251,2021,1,5,1.06
MAROONDAH,119354,2021,0,1,0
MELBOURNE,189381,2021,5,18,2.64
MELTON,219697,2021,0,3,0
MILDURA,57626,2021,0,4,0
MITCHELL,56384,2021,0,5,0
MOIRA,30836,2021,1,3,3.24
MONASH,209268,2021,1,12,0.48
MOONEE VALLEY,129732,2021,2,3,1.54
MOORABOOL,39814,2021,0,4,0
MORNINGTON PENINSULA,171450,2021,1,6,0.58
MOUNT ALEXANDER,20799,2021,0,1,0
MOYNE,17717,2021,1,3,5.64
MURRINDINDI,15603,2021,1,6,6.41
NORTHERN GRAMPIANS,11808,2021,1,1,8.47
PORT PHILLIP,112669,2021,0,4,0
PYRENEES,7958,2021,0,2,0
SOUTH GIPPSLAND,31022,2021,2,5,6.45
SOUTHERN GRAMPIANS,16525,2021,0,1,0
STONNINGTON,114038,2021,0,2,0
STRATHBOGIE,11739,2021,0,2,0
SURF COAST,39928,2021,1,1,2.5
SWAN HILL,21094,2021,0,1,0
TOWONG,6237,2021,1,2,16.03
WANGARATTA,30169,2021,1,2,3.31
WARRNAMBOOL,36150,2021,1,2,2.77
WELLINGTON,46533,2021,1,5,2.15
WEST WIMMERA,3913,2021,0,1,0
WHITEHORSE,183462,2021,2,9,1.09
WHITTLESEA,253204,2021,3,13,1.18
WODONGA,44824,2021,1,4,2.23
WYNDHAM,337009,2021,2,9,0.59
YARRA,100706,2021,3,9,2.98
YARRA RANGES,160137,2021,1,9,0.62
ARARAT,11686,2022,2,2,17.11
BALLARAT,121050,2022,1,16,0.83
BAW BAW,61905,2022,0,5,0
BAYSIDE,106118,2022,0,1,0
BENALLA,14635,2022,0,3,0
BOROONDARA,178008,2022,2,12,1.12
BRIMBANK,198152,2022,1,3,0.5
CAMPASPE,38153,2022,2,5,5.24
CARDINIA,130383,2022,2,6,1.53
CASEY,405415,2022,0,6,0
CENTRAL GOLDFIELDS,13704,2022,1,2,7.3
COLAC OTWAY,22300,2022,2,6,8.97
CORANGAMITE,15846,2022,0,4,0
DAREBIN,159963,2022,1,5,0.63
EAST GIPPSLAND,49422,2022,0,7,0
FRANKSTON,144615,2022,1,5,0.69
GANNAWARRA,10404,2022,1,3,9.61
GLEN EIRA,161057,2022,0,1,0
GLENELG,20007,2022,0,1,0
GOLDEN PLAINS,26337,2022,0,1,0
GREATER BENDIGO,125805,2022,0,6,0
GREATER DANDENONG,167298,2022,5,20,2.99
GREATER GEELONG,289565,2022,3,12,1.04
GREATER SHEPPARTON,69874,2022,4,9,5.72
HINDMARSH,5464,2022,0,1,0
HOBSONS BAY,95633,2022,0,5,0
HORSHAM,20376,2022,0,2,0
HUME,271709,2022,2,18,0.74
INDIGO,17788,2022,0,2,0
KINGSTON,166521,2022,1,9,0.6
KNOX,163302,2022,0,6,0
LATROBE,78845,2022,0,6,0
LODDON,7755,2022,0,1,0
MACEDON RANGES,53738,2022,0,2,0
MANNINGHAM,131761,2022,1,3,0.76
MANSFIELD,10782,2022,0,1,0
MARIBYRNONG,94251,2022,0,5,0
MAROONDAH,119354,2022,0,1,0
MELBOURNE,189381,2022,5,18,2.64
MELTON,219697,2022,0,3,0
MILDURA,57626,2022,1,4,1.74
MITCHELL,56384,2022,0,5,0
MOIRA,30836,2022,0,3,0
MONASH,209268,2022,3,12,1.43
MOONEE VALLEY,129732,2022,0,3,0
MOORABOOL,39814,2022,2,4,5.02
MORNINGTON PENINSULA,171450,2022,1,6,0.58
MOUNT ALEXANDER,20799,2022,0,1,0
MOYNE,17717,2022,0,3,0
MURRINDINDI,15603,2022,1,6,6.41
NORTHERN GRAMPIANS,11808,2022,0,1,0
PORT PHILLIP,112669,2022,1,4,0.89
PYRENEES,7958,2022,0,2,0
SOUTH GIPPSLAND,31022,2022,0,5,0
SOUTHERN GRAMPIANS,16525,2022,0,1,0
STONNINGTON,114038,2022,2,2,1.75
STRATHBOGIE,11739,2022,2,2,17.04
SURF COAST,39928,2022,0,1,0
SWAN HILL,21094,2022,1,1,4.74
TOWONG,6237,2022,0,2,0
WANGARATTA,30169,2022,0,2,0
WARRNAMBOOL,36150,2022,0,2,0
WELLINGTON,46533,2022,4,5,8.6
WEST WIMMERA,3913,2022,0,1,0
WHITEHORSE,183462,2022,1,9,0.55
WHITTLESEA,253204,2022,5,13,1.97
WODONGA,44824,2022,0,4,0
WYNDHAM,337009,2022,1,9,0.3
YARRA,100706,2022,1,9,0.99
YARRA RANGES,160137,2022,2,9,1.25

